NACA 16-412	
1.00000	0.00000
0.96867	0.01218
0.93714	0.02219
0.90555	0.03125
0.87394	0.03940
0.84236	0.04666
0.81085	0.05308
0.77947	0.05869
0.74825	0.06353
0.71724	0.06765
0.68648	0.07109
0.65602	0.07389
0.62588	0.07611
0.59611	0.07778
0.56674	0.07895
0.53782	0.07967
0.50937	0.07998
0.48143	0.07992
0.45403	0.07953
0.42720	0.07882
0.40097	0.07782
0.37537	0.07655
0.35042	0.07503
0.32616	0.07329
0.30261	0.07134
0.27980	0.06920
0.25774	0.06690
0.23647	0.06445
0.21599	0.06187
0.19635	0.05918
0.17754	0.05639
0.15960	0.05352
0.14255	0.05058
0.12639	0.04758
0.11114	0.04455
0.09683	0.04148
0.08346	0.03840
0.07104	0.03530
0.05960	0.03221
0.04913	0.02912
0.03965	0.02605
0.03117	0.02300
0.02370	0.01998
0.01724	0.01700
0.01180	0.01405
0.00738	0.01114
0.00399	0.00828
0.00163	0.00547
0.00030	0.00271
0.00000	0.00000
0.00133	-0.00368
0.00470	-0.00714
0.01009	-0.01037
0.01749	-0.01338
0.02685	-0.01618
0.03814	-0.01877
0.05131	-0.02116
0.06630	-0.02335
0.08306	-0.02538
0.10150	-0.02723
0.12155	-0.02893
0.14313	-0.03049
0.16616	-0.03192
0.19052	-0.03322
0.21613	-0.03440
0.24288	-0.03547
0.27066	-0.03643
0.29936	-0.03729
0.32885	-0.03803
0.35903	-0.03866
0.38978	-0.03918
0.42095	-0.03958
0.45245	-0.03984
0.48413	-0.03998
0.51587	-0.03998
0.54755	-0.03982
0.57905	-0.03948
0.61023	-0.03891
0.64098	-0.03811
0.67117	-0.03706
0.70069	-0.03575
0.72942	-0.03418
0.75725	-0.03237
0.78405	-0.03032
0.80973	-0.02807
0.83418	-0.02565
0.85729	-0.02311
0.87896	-0.02048
0.89911	-0.01782
0.91763	-0.01519
0.93444	-0.01264
0.94948	-0.01023
0.96266	-0.00801
0.97392	-0.00603
0.98321	-0.00435
0.99049	-0.00300
0.99571	-0.00200
0.99885	-0.00140
1.00000	0.00000
