NACA 2415	
1.00000	0.00000
0.96831	0.00777
0.93659	0.01520
0.90490	0.02229
0.87325	0.02904
0.84168	0.03547
0.81024	0.04157
0.77896	0.04734
0.74786	0.05280
0.71700	0.05793
0.68639	0.06274
0.65607	0.06722
0.62609	0.07138
0.59646	0.07520
0.56723	0.07869
0.53842	0.08185
0.51008	0.08466
0.48222	0.08712
0.45489	0.08924
0.42810	0.09100
0.40190	0.09241
0.37608	0.09342
0.35088	0.09399
0.32635	0.09413
0.30252	0.09384
0.27944	0.09313
0.25711	0.09203
0.23558	0.09053
0.21486	0.08867
0.19498	0.08645
0.17598	0.08390
0.15786	0.08103
0.14065	0.07787
0.12436	0.07444
0.10903	0.07075
0.09465	0.06684
0.08126	0.06273
0.06885	0.05843
0.05744	0.05398
0.04705	0.04939
0.03768	0.04469
0.02933	0.03989
0.02202	0.03501
0.01574	0.03008
0.01051	0.02511
0.00632	0.02010
0.00318	0.01508
0.00107	0.01005
0.00002	0.00503
0.00000	0.00000
0.00101	-0.00492
0.00303	-0.00964
0.00607	-0.01416
0.01010	-0.01848
0.01513	-0.02258
0.02114	-0.02648
0.02813	-0.03016
0.03608	-0.03361
0.04499	-0.03685
0.05484	-0.03985
0.06562	-0.04262
0.07732	-0.04515
0.08992	-0.04744
0.10341	-0.04949
0.11777	-0.05129
0.13300	-0.05284
0.14907	-0.05414
0.16597	-0.05520
0.18368	-0.05602
0.20219	-0.05659
0.22148	-0.05694
0.24153	-0.05705
0.26233	-0.05695
0.28387	-0.05663
0.30611	-0.05613
0.32905	-0.05543
0.35267	-0.05457
0.37694	-0.05356
0.40187	-0.05241
0.42766	-0.05109
0.45405	-0.04957
0.48100	-0.04786
0.50849	-0.04598
0.53650	-0.04395
0.56500	-0.04176
0.59397	-0.03944
0.62338	-0.03699
0.65320	-0.03442
0.68340	-0.03175
0.71395	-0.02899
0.74483	-0.02612
0.77600	-0.02317
0.80744	-0.02014
0.83912	-0.01702
0.87100	-0.01381
0.90306	-0.01051
0.93527	-0.00711
0.96759	-0.00361
1.00000	0.00000
