NACA 2412-64	
1.00000	0.00000
0.96840	0.00918
0.93669	0.01675
0.90499	0.02390
0.87333	0.03062
0.84175	0.03691
0.81030	0.04276
0.77899	0.04816
0.74788	0.05312
0.71699	0.05764
0.68635	0.06171
0.65602	0.06535
0.62602	0.06856
0.59638	0.07135
0.56714	0.07372
0.53833	0.07569
0.50999	0.07727
0.48214	0.07847
0.45483	0.07932
0.42807	0.07982
0.40190	0.08000
0.37616	0.07983
0.35105	0.07930
0.32663	0.07844
0.30292	0.07726
0.27995	0.07581
0.25774	0.07411
0.23632	0.07218
0.21571	0.07005
0.19593	0.06773
0.17700	0.06524
0.15895	0.06260
0.14180	0.05983
0.12555	0.05694
0.11023	0.05393
0.09586	0.05083
0.08244	0.04763
0.07000	0.04435
0.05854	0.04099
0.04808	0.03756
0.03863	0.03406
0.03019	0.03050
0.02278	0.02688
0.01640	0.02320
0.01106	0.01946
0.00675	0.01567
0.00350	0.01183
0.00129	0.00794
0.00012	0.00399
0.00000	0.00000
0.00091	-0.00389
0.00282	-0.00753
0.00574	-0.01091
0.00967	-0.01405
0.01458	-0.01694
0.02048	-0.01960
0.02736	-0.02202
0.03522	-0.02423
0.04403	-0.02622
0.05381	-0.02802
0.06452	-0.02963
0.07616	-0.03107
0.08873	-0.03234
0.10220	-0.03347
0.11657	-0.03447
0.13181	-0.03534
0.14792	-0.03610
0.16487	-0.03677
0.18265	-0.03736
0.20124	-0.03787
0.22063	-0.03831
0.24079	-0.03870
0.26171	-0.03903
0.28335	-0.03931
0.30571	-0.03955
0.32877	-0.03974
0.35249	-0.03988
0.37686	-0.03997
0.40188	-0.04000
0.42770	-0.03991
0.45411	-0.03965
0.48107	-0.03921
0.50858	-0.03859
0.53660	-0.03779
0.56510	-0.03678
0.59406	-0.03558
0.62345	-0.03417
0.65325	-0.03256
0.68343	-0.03073
0.71396	-0.02870
0.74481	-0.02645
0.77597	-0.02399
0.80739	-0.02133
0.83905	-0.01846
0.87092	-0.01539
0.90297	-0.01212
0.93517	-0.00866
0.96750	-0.00502
1.00000	0.00000
